"","distance","place","time","date"
"1","100","Lake Saroma","373.55","1998-06-21"
"2","30","Kumamoto","88","2005-02-27"
"3","15","Tilburg","41.3666666666667","2005-09-04"
"4","5","Carlsbad","13","2000-03-26"
"5","6.436","Groningen","17.1666666666667","2005-10-09"
"6","8","Dublin","22.0333333333333","1993-05-02"
"7","8.045","New Orleans","22.0833333333333","1993-03-20"
"8","10","Doha","27.0333333333333","2002-12-11"
"9","12","Evansville","33.5166666666667","1997-05-10"
"10","16.09","Tilburg","44.4","2005-09-04"
"11","20","Phoenix-Tempe","55.8","2006-01-15"
"12","25","Alphen aan den Rijn","71.6166666666667","2006-03-12"
"13","32.18","Chicago","95.3666666666667","1985-10-20"
"14","50","Claremont-Kirstenbosch","163.633333333333","1988-04-12"
"15","160.9","New York","706.616666666667","1984-05-08"
"16","290.221","Basle","1440","1998-05-03"
