"","distance","place","time","date"
"1","0.1","Athens","0.162833333333333","2005-06-14"
"2","0.15","Cassino","0.246666666666667","1983-05-22"
"3","0.2","Atlanta","0.322","1996-08-01"
"4","0.4","Seville","0.719666666666667","1999-08-26"
"5","0.5","Busto Arsizio","1.00133333333333","1984-05-26"
"6","0.6","Santa Monica","1.2135","1986-05-24"
"7","1","Rieti","2.19933333333333","1999-09-05"
"8","1.5","Rome","3.43333333333333","1998-07-14"
"9","2","Berlin","4.7465","1999-09-07"
"10","3","Rieti","7.3445","1996-09-01"
"11","3.218","Hechtel","7.97683333333333","1997-07-19"
"12","5","Hengelo","12.6225","2004-05-31"
"13","10","Brussels","26.2921666666667","2005-08-26"
"14","15","La Fleche","42.5666666666667","1991-03-30"
"15","20","La Fleche","56.9266666666667","1991-03-30"
"16","25","Christchurch","73.93","1981-03-22"
"17","30","Christchurch","89.3133333333333","1981-03-22"
"18","50","Timperley","168.1","1980-06-07"
"19","64.36","London","228.583333333333","1982-10-16"
"20","100","London","370.333333333333","1978-10-28"
"21","160.9","London","688.05","2002-10-20"
"22","1.609","Rome","3.71883333333333","1999-07-07"
"23","0.8","Cologne","1.68516666666667","1997-08-24"
"24","0.3","Pretoria","0.514166666666667","2000-03-24"
